Date,ENB.TO,BLDP.TO,FM.TO,ABX.TO,CNR.TO,AC.TO,MG.TO,DOO.TO,ATD.B.TO,SAP.TO,APHA.TO,AUP.TO,RY.TO,MFC.TO,SHOP.TO,CSU.TO,T.TO,BCE.TO,H.TO,NPI.TO
12/31/2020,0.003698225,0.112855008,0.23982637,-0.02717209,0.028970588,-0.078137652,0.1314666,0.134970981,0.005796429,-0.01110186,-0.19340055,-0.114026236,-0.013860079,0.023497515,0.02829507,0.032968475,0.006387226,-0.03321,-0.054455446,0.026061559
11/30/2020,0.104876056,0.361832061,0.203788374,-0.163110612,0.027578391,0.676849966,0.170660003,0.029599778,0.051182062,0.111008326,0.821368948,-0.04940048,0.138471447,0.225359911,0.138036036,0.14992961,0.099648815,0.05155,0.040879423,0.032954282
10/31/2020,-0.056298201,-0.023359841,0.289806234,-0.047593583,-0.066708977,-0.061185468,0.116527162,0.022885572,-0.115160664,-0.029041916,0.013536379,0.063233044,-0.003529789,-0.024838013,-0.09801056,-0.054770392,-0.027742211,-0.03042,0.031537916,0.069761668
9/30/2020,-0.067816918,-0.070669746,-0.080557707,-0.032091097,0.034656355,-0.108522727,-0.040774559,-0.006916996,0.08926474,0.02642901,-0.070754717,0.012913223,-0.058793919,-0.037422037,-0.022638043,-0.020106219,-0.024562864,-0.01498,0.045185185,0.102655352
8/31/2020,-0.026592022,0.137677352,0.140459364,-0.001808318,0.047538979,0.164791529,0.026005492,0.180666667,-0.085499463,-0.007321538,-0.004694836,0.024880889,0.075,0.071866295,0.017119537,-0.046946287,0.034007749,-0.00178,-0.053959355,-0.004632153
7/31/2020,0.038517442,-0.089037817,0.046210721,0.059676978,0.089334776,-0.108554572,0.023982799,0.03626943,0.09349307,0.012666049,0.097938144,-0.14292196,0.00314841,-0.028153763,0.062034316,0.033584128,0.02020202,-0.00812,0.117900509,0.080047087
6/30/2020,-0.078159893,0.419157609,0.340768278,0.103292057,0.012731872,0.066037736,0.041336548,0.214345638,-0.012296984,-0.043156961,0.00172117,0.009157509,0.033782267,0.080116959,0.234265099,-0.020599358,-0.045683152,-0.01066,-0.043103448,0.067211055
5/31/2020,0.049941383,0.040282686,-0.050588235,-0.075914039,0.030318825,-0.214426877,0.070427729,0.14450312,0.109680742,-0.033428571,0.17611336,-0.095652174,0.040523181,-0.024529378,0.18372641,0.169290481,0.048791209,0.01670,0.057052298,0.065952461
4/30/2020,0.039483305,0.326148079,0.182197497,0.38553751,0.046169227,0.285079365,0.207748831,0.81445993,0.171644042,0.03427896,0.151515152,0.182085169,-0.017666628,-0.007923033,0.497201587,0.046528039,0.02247191,-0.02494,-0.00394633,0.063367747
3/31/2020,-0.178742994,-0.115257048,-0.275201613,0.01015625,-0.033043325,-0.540145985,-0.264855132,-0.582773033,-0.18670265,-0.094218415,-0.117283951,-0.163047931,-0.126728111,-0.216755319,-0.053913546,-0.064654216,-0.081337737,-0.02070,-0.05939124,-0.058646113
2/29/2020,-0.071548039,-0.074443592,-0.042471042,0.044471644,-0.07989003,-0.227385518,-0.089432106,-0.185464772,-0.078453538,-0.081160846,-0.214862682,0.004526749,-0.045515395,-0.124903026,0.011179076,-0.016980111,-0.086899152,-0.05468,0.001486989,0.001678416
1/31/2020,0.042223513,0.404094828,-0.213363705,0.016169154,0.052779433,-0.0861678,-0.057724719,0.14198783,0.073283184,0.011442786,-0.087020649,-0.07569418,0.017810219,-0.022003035,0.193743947,0.102992837,0.055091488,0.03657,0.072567783,0.095220588
12/31/2019,0.026441352,0.046223224,0.083950617,0.087466186,-0.026034326,-0.030769231,-0.027056573,-0.090126115,-0.051771744,0.00124533,0.077901431,1.463917526,-0.05499862,0.008802143,0.159052643,-0.111865774,0.002592223,-0.05912,0.002398082,-0.011627907
11/30/2019,0.048572024,0.226832642,0.091644205,-0.030594406,0.02385399,0.067164179,0.03332392,0.10035539,0.100253165,0.05104712,-0.046969697,0.672413793,0.0234375,0.065226254,0.078571429,0.091618724,0.070437567,0.02337,0.021641486,0.046387833
10/31/2019,0.031612903,0.117465224,0,-0.001745201,-0.009751177,0.085396899,0.002832059,0.146265761,-0.027093596,-0.061886051,-0.040697674,-0.097595474,-0.011445054,0.009465021,0.001697793,-0.016869304,-0.006362672,-0.02497,0,0.034618411
9/30/2019,0.044239838,0.078333333,0.363970588,-0.111972104,-0.029690049,-0.034413408,0.059405941,0.079807289,-0.031026253,0.017491254,-0.179976162,-0.070959264,0.079232778,0.100045269,-0.196014196,0.020390384,-0.022392702,0.01714,-0.007698541,0.006732673
8/31/2019,0.010208711,0.129943503,-0.328947368,0.203263403,-0.018571886,-0.014534244,0.001502404,0.026887503,0.035846724,0.004014049,0.171787709,-0.088622754,-0.044521205,-0.075732218,0.222717627,0.032667282,0.016652614,0.05634,0.058773059,0.005175159
7/31/2019,-0.065903793,-0.007476636,-0.022508039,0.037735849,0.030693069,0.144116906,0.021485574,-0.006623932,-0.018323019,0.016836735,-0.222584148,-0.033564815,0.001441338,0.004201681,0.065628335,0.017371024,-0.020037182,0.00101,0.020577933,-0.014901961
6/30/2019,-0.05164791,0.030828516,0.264227642,0.229625223,0.011517276,-0.005263158,0.125583002,0.15727003,-0.006509946,-0.128501556,0.031354983,-0.012571429,0.024512699,0.049382716,0.058466007,0.054589486,-0.030248397,-0.02103,-0.002620087,0.021634615
5/31/2019,0.005455648,0.176870748,-0.30459364,-0.012918379,-0.037126326,0.240671642,-0.223682446,-0.028818444,0.050132928,-0.018118315,-0.126223092,0.037959668,-0.04860916,-0.080664775,0.141488872,-0.00990642,0.011960268,0.01535,0.056273063,0.047858942
4/30/2019,0.022520661,0.088888889,-0.066006601,-0.070414847,0.040207306,-0.001552313,0.145996619,0.122977346,0.003429878,0.005708013,-0.179775281,-0.027681661,0.059016068,0.09159292,0.180852606,0.043770512,-0.002628387,0.01011,0.044315992,0.009322034
3/31/2019,-0.005751849,-0.141949153,0.003976143,0.103614458,0.0594226,-0.02718212,-0.062932028,-0.058883249,0.061345558,0.062019119,-0.086510264,-0.026936027,-0.019737482,0.01618705,0.106627086,0.00780459,0.034728033,0.01401,0.005326877,-0.054108216
2/28/2019,0.013955426,0.032822757,-0.007889546,-0.056281978,0.029822161,0.115942029,-0.001438021,0.041776838,0.03923217,0.11344756,0.195442594,0.08,0.028294341,0.053529133,0.127045845,0.145938389,0.038678835,0.02433,0.002914036,0.045245078
1/31/2019,0.132044329,0.393292683,0.377717391,-0.045577862,0.084462467,0.142912173,0.122155882,0.070175439,0.050949786,-0.017096198,0.453503185,-0.110991379,0.070419521,0.089829633,0.171566291,0.122170197,0.017016575,0.05934,0.016790123,0.1
12/31/2018,-0.028630325,-0.148051948,-0.095081967,0.088600118,-0.114313245,-0.104827586,-0.065450158,-0.253485425,-0.026100674,-0.050859772,-0.253092293,0.138650307,-0.040854034,-0.118343195,-0.066505142,-0.041052332,-0.051163766,-0.05303,0.030010173,-0.028648165
11/30/2018,0.064358849,-0.214285714,-0.071537291,0.026682838,0.014394882,0.160928743,0.023144576,-0.106117825,0.109114045,0.029419097,-0.330573248,0.125690608,0.015638032,0.059816691,0.112003079,0.005806278,0.057897072,0.11776,0.026631854,0.103209877
10/31/2018,-0.017720307,-0.115523466,-0.106730116,0.153953814,-0.028990509,-0.094927536,-0.044804716,-0.125928371,-0.026930816,0.043987507,-0.127777778,-0.15123095,-0.073594746,-0.102208748,-0.143334903,-0.046175074,-0.053140097,-0.02637,-0.024949084,-0.066820277
9/30/2018,-0.061783869,0.188841202,-0.101405009,0.070411985,-0.001378597,0.029082774,-0.039767903,-0.110540223,0.034090909,-0.038538539,0.060070671,0.168493151,-0.001157631,-0.033082077,0.118192352,-0.045443297,-0.016119033,-0.01691,0.018672199,-0.005955108
8/31/2018,-0.036788574,0.179746835,-0.19319862,-0.08436214,-0.000516707,0.139821504,-0.108278647,0.122610415,0.045690377,-0.078625778,0.475238923,0.03988604,0.020777942,-0.011589404,0.047676857,0.055204674,0.017665615,-0.03708,0.014736842,-0.082001682
7/31/2018,-0.016808511,0.044973545,0.047496128,-0.155761436,0.079884683,0.107294118,0.03635888,-0.042600189,0.04622658,-0.006414662,-0.030328559,-0.071428571,0.025861198,0.022861981,-0.054718064,-0.07505279,0.018201285,0.03832,-0.051896208,-0.030574806
6/30/2018,0.166542566,-0.023255814,-0.048157248,0.011716462,-0.00665127,-0.074880279,-0.080346404,0.049337748,0.054857776,-0.031291611,0.030381944,-0.034482759,0.010102041,-0.034341783,-0.003223626,-0.001634735,0.024347445,-0.01426,0.029804728,0.02507313
5/31/2018,0.035998971,-0.080760095,0.1,-0.012152778,0.091559948,-0.089936609,0.096399842,0.162880246,-0.024680238,0.082392505,0.148554337,0.144736842,0.003687014,0.009492365,0.118132667,0.11288828,-0.007834603,-0.00881,-0.045610593,0.033693305
4/30/2018,-0.040227048,-0.082788671,0.022664456,0.076635514,0.053207307,-0.05715353,0.044922144,0.049717057,-0.037454482,0.006771463,-0.127067015,0.008849558,-0.018890675,0.012959866,0.072916667,0.049740209,0.015694076,-0.01714,-0.025334608,0.006084311
3/31/2018,-0.007106101,-0.047717842,-0.134863702,0.085926928,-0.051571313,-0.010716925,0.027903683,0.099799956,-0.07565315,0.008290661,-0.131519274,-0.021645022,-0.015530715,-0.02047502,-0.096788732,0.0524444,-0.023316062,-0.01000,0.018004866,0.044959128
2/28/2018,-0.094117647,0.057017544,0.140130862,-0.164499717,0.007100832,0.13174404,0.004839169,-0.115414864,-0.03045843,-0.031183558,-0.251273345,0.062883436,-0.040163312,-0.064367816,0.130285278,0.04462279,0.000215936,-0.02643,-0.074741108,-0.037587413
1/31/2018,-0.083604557,-0.179856115,0.041453719,-0.026952695,-0.048914616,-0.076120556,-0.013756317,0.093528273,-0.018905321,-0.063081009,-0.055080214,0.13986014,0.026010716,-0.004576659,0.235465345,0.043424012,-0.02750945,-0.04737,-0.008482143,-0.02012848
12/31/2017,0.010483042,-0.097402597,0.187457856,0.02020202,0.029192732,0.05246035,-0.015614205,-0.013991944,-0.003039976,0.031978072,0.628919861,-0.161290323,0.01784829,-0.032829214,-0.059559041,0.008389782,-0.001258389,-0.02203,-0.014951627,-0.018082422
11/30/2017,-0.018757564,-0.04496124,0.027720028,-0.043991416,-0.029862248,-0.037949922,0.028275078,0.087869004,0.087617788,-0.060111636,0.490909091,-0.099075297,-0.000198275,0.045104086,0.053796975,0.029565534,0.020547945,0.03643,-0.003068829,-0.036076206
10/31/2017,-0.048733691,0.102564103,0.029978587,-0.071713147,0.004159412,-0.025914634,0.056915453,0.074331021,0.063093146,0.078490391,0.081460674,-0.031969309,0.044851875,0.024891347,-0.116179713,0.078208488,0.040998217,0.01899,0.003961268,0.065198618
9/30/2017,0.044070513,0.496163683,-0.06910299,-0.107158737,0.021339656,0.124250214,0.108171077,-0.02746988,-0.045782324,0.02443074,0.190635452,-0.034567901,0.041648684,0.031797799,0.051594203,-0.019614797,-0.00729927,-0.01649,-0.019421666,-0.032985386
8/31/2017,-0.034055728,0.074175824,0.092162554,0.066888046,0.027405603,0.177004539,0.010595358,0.038798498,0.008626522,-0.002366304,-0.074303406,0.030534351,-0.003548006,-0.044781931,0.201148925,0.033811639,0.003997335,0.01572,0.036225403,0.031438415
7/31/2017,0.000387147,-0.026737968,0.256153145,0.021812894,-0.063676107,0.140966628,-0.010154819,0.051592524,-0.048906049,0.024484848,0.207476636,-0.011320755,-0.009689097,0.056355409,0.020337478,-0.009891294,0.00580746,0.00205,-0.037451571,0.005194805
6/30/2017,-0.006538462,0.002680965,-0.036874451,-0.076544315,0.004678698,-0.023595506,-0.00661485,0.156116859,-0.005121639,-0.085365854,0.020992366,-0.060283688,0.005890543,0.042006001,-0.097177678,-0.028958443,-0.025468002,-0.04591,-0.02148273,-0.010706638
5/31/2017,-0.080947331,-0.165548098,-0.1245196,-0.021034181,0.061416844,0.370284834,0.060505086,0.018283235,-0.004778592,0.004901961,-0.146579805,-0.115062762,-0.001069862,-0.025480368,0.202468184,0.11894298,0.011448701,-0.01512,-0.012479201,-0.032324907
4/30/2017,0.025,0.52559727,-0.079263977,-0.096595408,0.005195599,-0.058695652,-0.006447116,0.030990415,0.04494008,-0.022009152,-0.084947839,-0.019487179,-0.034899329,0.014836795,0.143424099,-0.044636829,0.052119527,0.05554,-0.008659794,-0.017508143
3/31/2017,-0.013404826,0.158102767,0.022431259,0.030599755,0.062797748,0.031390135,0.01056524,0.202458701,0.017270572,0.006139005,-0.005925926,1.065677966,0.003834992,-0.005899705,0.150120451,0.048116076,-0.001156872,0.01622,0.027542373,0.004088307
2/28/2017,0.009927798,0.045454545,-0.157830591,0.022101751,0.021229544,0.000747943,0.008882572,-0.009889692,-0.00922664,-0.048006679,0.313229572,0.18,0.031209919,-0.048897796,0.194276196,0.06086216,-0.005064457,-0.01227,-0.018711019,0.021720969
1/31/2017,-0.019469027,0.09009009,0.229213483,0.115867846,0.000885347,-0.021945867,-0.034476844,-0.072663139,-0.02086071,0.00841928,0.01984127,0.413427562,0.029602729,0.043496445,0.144540728,-0.036697686,0.016140351,0.01086,0.019932146,0.027467811
12/31/2016,0,-0.129411765,-0.129726206,0.066501241,0.00612404,0.012592593,0.074060427,0.205869843,-0.017906114,0.045784724,-0.030769231,-0.309756098,0.043523197,0.022231723,0.023412558,-0.026052538,0.018827455,0.00242,0.021663778,0.072744015
11/30/2016,-0.029042791,-0.030418251,0.204081633,-0.146186441,0.065109108,0.067193676,-0.014345379,-0.093328191,-0.079994064,-0.05746888,0.368421053,0.007371007,0.039140811,0.203808544,0.014393667,-0.00303913,-0.033847571,-0.05005,-0.05680425,-0.095
10/31/2016,0.003275862,-0.086805556,0.173112339,0.01592768,-0.016791045,0.193396226,-0.022194602,0.010128555,0.059767222,0.057249397,0.10787172,0.030379747,0.031257691,0.049702863,-0.012613253,0.062441795,0.003234003,0.00578,-0.055212355,-0.018003273
9/30/2016,0.121423047,0.051094891,0.092555332,0.042171377,0.017681263,0.183035714,0.066464685,0.053344276,-0.059884667,0.045642202,0.329457364,0.549019608,-0.003311664,0.035234899,0.034742647,0.033625918,0.006276151,-0.01110,-0.012204424,0.028619529
8/31/2016,-0.037050829,0.087301587,-0.119574845,-0.218169063,0.018122508,-0.003337041,0.049900596,0.149528302,0.133780386,0.111394341,0.167420814,-0.425675676,0.024374921,0.005059022,0.215642458,0.076518263,-0.015335317,-0.02015,0.011183957,-0.031390135
7/31/2016,-0.018636945,0.555555556,0.244762955,0.033720087,0.084939048,0.011248594,0.109151047,0.025641026,0.075162221,0.022413344,0.389937107,0.153246753,0.042572701,0.006791171,0.125503018,0.062998631,0.050240385,0.02273,-0.001155624,0.104954955
6/30/2016,0.046863045,-0.1,0.054651163,0.258211679,-0.018778135,-0.076843198,-0.148356808,0.025806452,-0.03847487,-0.039549437,0.160583942,0.040540541,-0.031586959,-0.09477459,0.033532623,-0.061895756,0.000721674,0.01141,0.062193126,0.003163127
5/31/2016,0.003069839,-0.1,-0.195509822,-0.097571017,0.006342221,0.032154341,0.010436433,0.010025063,0.049090909,0.012674271,-0.098684211,0.010928962,0.011678645,0.055135135,-0.036805208,0.087001349,0.044997486,0.02736,0.037351443,0.063431043
4/30/2016,0.03085443,0.104972376,0.562865497,0.376984127,-0.048053228,0.041294643,-0.056063049,0.026762738,-0.048442907,-0.05259366,0.142857143,-0.036842105,0.041154463,0.006528836,0.087690632,-0.077944537,-0.059129612,-0.00591,-0.030851501,-0.028478058
3/31/2016,0.057961917,-0.057291667,0.387423935,-0.061702128,0.032569975,0.24099723,0.063428571,0.179004854,-0.055864097,0.056852792,0.127118644,0.25,0.083538439,0.01490889,0.218718885,-0.057978678,0.072824156,0.01283,0.051015997,0.126182965
2/29/2016,-0.017879162,0.021276596,0.627062706,0.349605169,0.034891376,-0.080254777,0.07869324,0.06185567,0.003935717,0.145348837,0.026086957,0.081850534,-0.041227096,-0.069851053,-0.072923077,0.120880305,0.011290736,0.03562,0.040017986,-0.021604938
1/31/2016,0.057826087,-0.125581395,-0.415057915,0.360351563,-0.018099548,-0.231145935,-0.132751247,-0.219315895,0.001149237,0.039274924,-0.1015625,-0.192528736,-0.028455833,-0.06123433,-0.087078652,-0.126958076,0.01855724,0.05556,-0.002243158,0.041800643
12/31/2015,46,2.15,5.18,10.24,77.35,10.21,56.12,19.88,30.455,33.1,1.28,3.48,74.15,20.74,35.6,573.969,19.13,53.46,22.29,18.66
